uid,participant,type,feedback,trial,avg_time(ms),task_time(s),INF,C,F,IF
115,4,normal,false,7,598,24,0,34,4,4
116,4,normal,false,8,588,18,0,28,2,2
117,4,normal,false,9,646,28,0,29,8,8
118,4,normal,true,1,671,32,0,27,11,11
119,4,normal,true,2,646,18,0,28,1,1
120,4,normal,true,3,566,20,0,27,5,5
121,4,normal,true,4,653,24,0,30,4,4
122,4,normal,true,5,650,22,0,30,3,3
123,4,normal,true,6,581,26,0,34,6,6
124,4,normal,true,7,697,26,0,31,4,4
125,4,normal,true,8,681,21,0,26,3,3
126,4,normal,true,9,510,12,0,26,0,0
127,4,zoom,false,1,1198,35,0,29,1,1
128,4,zoom,false,2,1182,49,0,35,4,4
129,4,zoom,false,3,1093,29,0,28,0,0
130,4,zoom,false,4,1137,31,0,29,0,0
131,4,zoom,false,5,1086,29,0,28,0,0
132,4,zoom,false,6,1106,24,0,23,0,0
133,4,zoom,false,7,1072,34,0,33,0,0
134,4,zoom,false,8,1170,38,1,29,2,2
135,4,zoom,false,9,1157,37,0,31,1,1
136,4,zoom,true,1,1628,43,0,28,0,0
137,4,zoom,true,2,1554,57,0,32,3,3
138,4,zoom,true,3,1393,40,1,29,0,0
139,4,zoom,true,4,1487,34,0,24,0,0
140,4,zoom,true,5,1586,57,1,36,0,0
141,4,zoom,true,6,1403,28,0,21,0,0
142,4,zoom,true,7,1371,39,0,28,1,1
143,4,zoom,true,8,1277,33,0,27,0,0
144,4,zoom,true,9,1274,31,0,26,0,0
